season,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_ppda,away_ppda,home_deep,away_deep,Result,home_points,away_points,home_rolling_goals_created,away_rolling_goals_created,home_rolling_goals_conceded,away_rolling_goals_conceded,home_rolling_xg_created,away_rolling_xg_created,home_rolling_xg_conceded,away_rolling_xg_conceded,home_rolling_ppda_created,away_rolling_ppda_created,home_rolling_ppda_conceded,away_rolling_ppda_conceded,home_rolling_winrate,away_rolling_winrate,home_rolling_xg_home_only,away_rolling_xg_away_only,home_rolling_goals_home_only,away_rolling_goals_away_only,points_diff,rolling_xG_diff,rolling_ppda_diff,rolling_goals_diff,rolling_winrate_diff,home_squad_value,away_squad_value,squad_value_ratio,squad_value_diff,target
2016/17,2016-09-20,Paris Saint Germain,Dijon,3,0,2.1153,0.3002,8,8,4,4,11.7097,27.2632,9,3,H,10.0,4.0,2.4,1.0,0.8,1.4,2.21612,1.05992,0.86684,1.23128,7.887919999999999,10.486979999999999,18.8396,10.71958,0.6,0.2,,,,,6.0,1.1562000000000001,-2.5990599999999997,1.4,0.39999999999999997,519000000.0,31200000.0,16.634615384615383,487800000.0,0
2016/17,2016-09-21,Angers,Caen,2,1,1.3198,0.5058,12,6,4,1,15.35,8.0,4,5,H,6.0,6.0,0.8,1.0,1.0,2.4,0.9113199999999999,1.31538,0.9810800000000001,1.8850200000000001,11.36074,11.7407,11.63832,9.3565,0.4,0.4,,,,,0.0,-0.4040600000000001,-0.3799600000000005,-0.19999999999999996,0.0,46080000.0,36650000.0,1.2572987721691677,9430000.0,0
2016/17,2016-09-21,SC Bastia,Nancy,0,0,0.3195,0.0748,10,4,5,2,4.4688,9.3571,4,1,D,6.0,4.0,1.0,0.6,1.0,1.6,0.97882,0.76732,1.15256,1.39912,13.417300000000001,9.80934,5.9866399999999995,12.428619999999999,0.4,0.2,,,,,2.0,0.21150000000000002,3.6079600000000003,0.4,0.2,36450000.0,33100000.0,1.1012084592145015,3350000.0,1
2016/17,2016-09-21,Nantes,Saint-Etienne,0,0,2.2208,0.1899,17,6,6,0,7.5185,12.8125,9,2,D,4.0,8.0,0.4,1.4,1.2,1.0,0.95138,1.30968,0.8382,1.19214,9.42334,6.71032,9.222280000000001,12.643260000000001,0.2,0.4,,,,,-4.0,-0.35829999999999995,2.7130199999999993,-0.9999999999999999,-0.2,50900000.0,85030000.0,0.5986122544984124,-34130000.0,1
2016/17,2016-09-21,Nice,Monaco,4,0,2.2016,1.1718,9,16,7,7,16.5714,6.9167,3,8,H,11.0,13.0,1.4,2.6,0.8,0.8,1.69698,1.51872,1.42718,0.605,11.93196,8.59638,9.5419,9.9576,0.6,0.8,,,,,-2.0,0.17825999999999986,3.33558,-1.2000000000000002,-0.20000000000000007,132800000.00000001,309550000.0,0.42900985301243744,-176750000.0,0
2016/17,2016-09-21,Metz,Bordeaux,0,3,0.4465,2.0859,11,20,4,7,11.8077,12.95,3,6,A,10.0,9.0,1.6,1.6,1.0,1.6,1.2098200000000001,1.18026,1.8750999999999998,1.19174,16.424680000000002,10.19772,8.89588,8.25304,0.6,0.6,,,,,1.0,0.02956000000000003,6.226960000000002,0.0,0.0,37550000.0,88900000.0,0.42238470191226096,-51350000.0,2
2016/17,2016-09-21,Lyon,Montpellier,5,1,2.3311,0.5102,15,8,8,2,6.4688,24.7059,8,0,H,7.0,6.0,1.6,1.0,1.4,1.2,1.9047,1.16738,1.04012,0.97682,7.515040000000001,8.33242,11.63874,9.24538,0.4,0.2,,,,,1.0,0.73732,-0.81738,0.6000000000000001,0.2,211350000.0,60950000.0,3.4675963904840033,150400000.0,0
2016/17,2016-09-21,Guingamp,Lorient,1,0,1.6385,0.7657,8,13,4,3,21.1333,11.2609,4,5,H,8.0,3.0,1.6,0.6,1.2,2.0,1.0329599999999999,1.0417999999999998,1.30018,1.4508,14.37604,11.7796,5.907819999999999,12.5928,0.4,0.2,,,,,5.0,-0.008839999999999959,2.5964399999999994,1.0,0.2,42500000.0,61100000.0,0.6955810147299509,-18600000.0,0
2016/17,2016-09-21,Rennes,Marseille,3,2,2.0713,1.4815,13,8,5,4,4.9512,7.303,5,1,H,7.0,5.0,1.0,1.0,1.0,1.0,0.71196,1.0725799999999999,1.0652000000000001,1.17554,12.207460000000001,6.4241600000000005,10.0489,8.09864,0.4,0.2,,,,,2.0,-0.36061999999999983,5.7833000000000006,0.0,0.2,80900000.0,119650000.0,0.6761387379857919,-38750000.0,0
2016/17,2016-09-23,Toulouse,Paris Saint Germain,2,0,1.4441,1.0458,11,12,3,3,12.375,7.9,1,7,H,11.0,13.0,1.8,2.8,1.0,0.8,1.1231399999999998,2.5062,0.75744,0.7612,7.5192,9.406780000000001,8.2463,21.7589,0.6,0.6,,,,,-2.0,-1.3830600000000004,-1.8875800000000016,-0.9999999999999998,0.0,77300000.0,519000000.0,0.1489402697495183,-441700000.0,0
